city,state,country,postcode
Ellenwood ,US-GA,US,30294
Barstow,US-CA,US,92311
Denver,Co,US,80260
Morehead,US-KY,US,40351
Memphis ,US-TN,US,38114
Baton Rouge ,US-LA,US,70815
Granite City,US-IL,US,62040
Millen,Georgia,US,30442
North Billerica,MA,US,01862
Kansas City,Missouri,US,64110
Cedar city,US-UT,US,84720
Brooklyn,New York ,US,11212 
Denver,CO,US,80210
Johnston,Sc,US,29832
Ogden ,Utah ,US,84403 
New York City ,New York ,US,11236
Cleveland ,Ohio ,US,44105 
Statesboro,GA,US,30458
Las Vegas,Nevada,US,89110
Belvidere,Il,US,61008
Downtown,Fl,US,33127
Brooklyn,New York ,US,11217 
Brockton,Massachusetts ,US,02302
Phoenix,Arizona,US,85033
Westminster,US-MD,US,21158
Saint Louis,Missouri,US,63106
Freeport,New York,US,11520
Oscoda,Mi,US,48750
Detroit,Mi,US,48205
Leominster,US-MA,US,01453
huntsville ,,US,35810
Wasco,Ca,US,93280
New Braunfels,Texas,US,78130
Abita Springs ,LA,US,70420
Whitefish,US-MT,US,59937
Chesapeake,US-VA,US,23320
Grand Prairie,Texas,US,75052
Denver ,Colorado ,US,80014
Granite City,Illinois,US,62040
Dallas,GA,US,30132
Lawton,US-OK,US,73505
Brooklyn,Ny,US,11207
Detroit,MI,US,48227
Fort Smith,Ar,US,72904
Ashdown,US-AR,US,71822
Warren,Mi,US,48093
Detroit ,Michigan ,US,48221
linton,US-IN,US,47441
Cleveland,Ohio,US,44102
Milwaukee,US-WI,US,53218
Garden,US-MI,US,49835
Rocky Ford,US-CO,US,81067
Carrollton ,Georgia ,US,30118
Voorhees,US-NJ,US,08043
Ripon,,US,95366
Cypress,TX,US,77433
Charlotte,US-NC,US,28215
austin,US-TX,US,78729
Warren ,Michigan ,US,48089
Detroit,Michigan ,US,48221
Lenoir,US-NC,US,28645
Antioch,US-CA,US,94509
Texarkana,Arkansas,US,71854
Ottawa,US-KS,US,66067
Dillonvale,OH,US,43917-7801
stockton,US-CA,US,95207
Bakersfield ,US-CA,US,93301
Los Angeles ,US-CA,US,90019
Boone ,US-NC,US,28607
Bloomfield,New Jersey,US,11229
Rancho Palos Verdes,California,US,90275
Upland ,US-CA,US,91784
Highlands Ranch ,Colorado ,US,80130
Pontiac,US-MI,US,48342
Brewton,Alabama,US,36426
Henderson ,NV ,US,89011 
Memphis,TN,US,38128
GRANITE BAY,US-CA,US,95746
Bakersfield,California,US,93308
Wichita,US-KS,US,67207
Oklahoma,Oklahoma,US,73127
Weet Bend,Iowa,US,50522
El Paso ,Texas,US,79907
new jersey,US-NJ,US,07470
Orlando,Pennsylvania,US,32817
hazel park,US-MI,US,48030
Hampshire,Arkansas ,US,60140
Turlock,,US,95382
Freeport,US-IL,US,61032
Ringgold ,Georgia ,US,30736
Talbott,US-TN,US,37877
Roxburt ,Ma ,US,02121
Jackson,Mississippi,US,39203
Gardena ,California ,US,90746 
Saint Charles ,Illinois,US,60174
Des Plaines,Illinois,US,60016
Cumming,Georgia,US,30028
Houston ,Texas,US,77082
California,California,US,900763
la,US-AL,US,11111
Greenwood,Indiana,US,46142
Woonsocket,Rhode Island,US,02895
Temple city ,CA,US,91780
Alhambra,California,US,91792
Jersey City,NJ,US,07302
Powder Springs ,US-GA,US,30127
Toledo,Ohio,US,43605
Atlanta,Usa,US,30301
Los Angeles,US-CA,US,90028
Tuscumbia,AL,US,35674
Calabasas,Ca,US,91302
Hammond,IN,US,46323
Hixson,US-TN,US,37343
WINDSOR MILL,US-MD,US,21244
Detroit,MI,US,48235
Eureka ,US-CA,US,95501
Villa Rica,Ga,US,30180
Floresville,Texas ,US,78114
Mobile ,Alabama ,US,36618 
Oceanside,CA,US,92057
York,US-PA,US,17404
High Ridge,US-MO,US,63049
fleetwood,US-PA,US,19522
Sandusky,MI,US,48471
henderson,US-CO,US,89015
Riverside ,Ca ,US,92507
Hamilton,OH,US,45011
Bowie,Maryland,US,20721
Capitol Heights,MD,US,20743
Louisville,US-KY,US,40219
Elgin,IL,US,60124
Hesperia,CA,US,92345
Wernersville ,Pennsylvania ,US,19565 
Atlanta,GA,US,30318
Faith,South Dakota,US,57626
Atlanta ,Georgia ,US,30318 
Raeford,,US,28376
Chicago,Illinois,US,60652
Brooklyn,Ny,US,11225
Detroit,Mi,US,48203
California City,US-CA,US,93501
Detroit ,MI ,US,48203 
San Carlos,US-CA,US,94070
Baltimore,Maryland,US,21215
ripley,US-MS,US,38663
Miami,Fl,US,33135
Montgomery City,Missouri,US,63361
San Jose,California,US,95116
Toledo ,OH ,US,43612 
Ventura ,US-CA,US,93003
Lawrenceville,US-GA,US,30044
Biddeford ,Maine ,US,04005 
Buckeye,US-CA,US,85326
California ,Los Angeles ,US,90001
Chicago,US-IL,US,60625
Los Angeles ,CA ,US,90045
Cochran,US-GA,US,31014
Orcutt,CA,US,93455
Bell,US-CA,US,90201
ERIE,,US,16511
Riverside,US-CA,US,92506
El centro,California,US,92243
Gardena,California,US,90249
Atlanta,Georgia,US,30345
Los Angeles,Ca,US,90047
North Augusta ,US-SC,US,29841
Lafayette,,US,80026
Indian Trail,Nc,US,28079
Annandale ,VA ,US,22003
HUNTSVILLE,US-TX,US,77340
Springdale ,US-MD,US,20774
Baytown ,Texas,US,22918
Miami,Florida,US,33023
Brashear,Missouri,US,63533
Merced,CA,US,95340
Decatur,US-AL,US,35601
Booneville ,Arkansas ,US,72927 
Newark,NJ,US,07102
Oakland,US-NC,US,94612
Newhall,,US,91321
Lilburn ,Ga,US,30047
Sewell,,US,08080
North Attleboro ,US-MA,US,02760
Tulsa,Ok,US,74133
Westfield,US-WI,US,53964
Riviera,US-TX,US,78379
Joshua,US-TX,US,76058
Green Bay ,US-WI,US,54302
Waukegan,US-IL,US,60085
Philadelphia,Pennsylvania,US,19121
Norristown,Pa,US,19401
Charleston ,South Carolina ,US,29418
Colorado Springs,Colorado,US,80904
Al Satwa,Dubai,US,009714
Brooklyn,US-NY,US,11238
Hope,Arkansas ,US,71801
Los Angeles,US-CA,US,90063
Ellicott City,US-MD,US,21043
Salisbury,US-MD,US,21804
Columbus,Ga,US,31903
Sugarcreek Township,OH,US,45440
Augusta,Georgia,US,30901
Amarillo,Texas,US,79103
FORT WORTH,US-TX,US,76134
Limestone,Maine,US,04750
Arlington,Texas,US,76010
pomona,US-CA,US,91767
Philadelphia,US-PA,US,19131
Houston ,Texas,US,77055
Pleasantville,US-NJ,US,08232
Yuba City,California,US,95991
Leupp,Arizona,US,86035
Mission,Texas,US,78574
New Iberia,Louisiana,US,70563
Oakland,,US,94603
Los Angeles,US-CA,US,90034
Pontiac,MI,US,48341
Schaumburg,IL,US,60173
San Diego,US-CA,US,92122
miami,US-AZ,US,33147
Rice Lake ,Wi,US,54868
Cambridge,,US,02138
Riverside,US-CA,US,92507
Arlington,Texas,US,76013
Detroit,Mi,US,48228
Windham,NH,US,03087
Sacramento ,California ,US,95833
Los Angeles,,US,90034
San Jose,Ca,US,95111
Phoenix,Arizona,US,85009
Houston,Texas,US,77062
new york,US-AL,US,10008
Blackwood,US-NJ,US,08012
Hawthorne ,US-FL,US,32640
Modesto,US-CA,US,95354
Houston,Texas,US,77034
Fremont,IN,US,46737
Maple Heights,Ohio ,US,44137
Atlanta ,Georgia ,US,30080
Hicksville,Ohio,US,43526
Anderson ,South Carolina ,US,29625
Memphis,Tn,US,38109
Milwaukee,Wisconsin,US,53206
Oklahoma ,Oklahoma,US,73150
Philadelphia,PA,US,19134
Houston,,US,77087
Lubbock,Texas,US,79524
Jonesboro,Ga,US,30238
palm springs,California,US,92264
Hot Springs ,Arkansas ,US,71901
Statesville ,US-NC,US,28625
Brooklyn ,New York ,US,11210
Elk Grove,,US,95624
Sacramento,US-CA,US,95823
Alexandria ,Virginia ,US,22309
Bremen,,US,42325
Fishers,,US,46037
San Francisco ,California ,US,94124 
lawton,US-OK,US,73505
Hesperia,Ca,US,92345
Nashua ,US-NH,US,03062
California,Business ,US,94203
Thornton,US-CO,US,80229
stockton,US-CA,US,95207
Carbondale,,US,62901
Elizabeth,Nj,US,07201
New work,US-AK,US,83781
Marshfield,Mass,US,02050
Phoenix,US-AZ,US,85041
San pedro,US-CA,US,90732
Garden Grove,California,US,92840
charleston,,US,29414
SALINAS,CA,US,93905
 Lincoln City,Oregon,US,97367
Sharon,US-WI,US,53585
Camarillo,US-CA,US,93012
Memphis ,US-TN,US,38118
Clarksville,Tn,US,37042
Macomb,US-MI,US,48044
Shelbyville ,Tennessee ,US,37160
Great Falls,Montana ,US,59501
Palm Springs ,California ,US,92262
Duluth ,GA ,US,30096 
NJ,US-NJ,US,07076
Thornton ,CO,US,80241 
Lucedale,Mississippi,US,39452
Austell,Georgia,US,30106
Miami,US-NC,US,33130
Danville,Virgina,US,24541
Pataskala,10154 Morse Rd SW,US,43062
Gilbert,Az,US,85295
PRESCOTT VALLEY,US-AZ,US,86314
Nazareth,,US,18064
Atlanta ,US-GA,US,30349
Portland,Tn,US,37148
San Francisco,US-CA,US,94133
Farmington Hills,MI,US,48336
Fort Gibson,Ok,US,74434
Revere ,Massachusetts ,US,02151 
Manassas,,US,20111
San Diego ,US-CA,US,92129
Las Vegas,Navada,US,89169
Colorado,Colorado,US,80302
Natchez,Mississippi ,US,39120
Luzerne,Pa,US,18708
Reynoldsburg,US-OH,US,43068
Lumberton,Texas,US,77657
Broken Arrow ,OK ,US,74012 
Oceanside,US-CA,US,92057
Toms river,New Jersey,US,08753
fresno,US-CA,US,93727
Dearborn,US-MI,US,48124
Anderson,US-IN,US,46012
Indianapolis,US-IN,US,46237
St. Louis,US-MO,US,63135
Virginia Beach,VA,US,23462
Ashburn,US-VA,US,20147
Los Angeles,CA,US,91335
Monrovia,US-CA,US,91016
sacramento,,US,95833
Charlotte,Nc,US,28105
austin,,US,74748
Prostina,Kosovo,US,10000
Glen Burnie ,Md,US,21061 
leechburg,US-PA,US,15656
Rockford,Il,US,61103
Detroit ,Michigan ,US,48219 
Gulf Shores,US-AL,US,36542
Louisville,Kenturky,US,9402
Pocatello ,,US,83204
Troy,US-NY,US,12180
Ashland ,US-KY,US,41102
Kutztown,PA,US,19530
Pasadena,US-CA,US,91007
Medford,MA,US,02155
Margate ,US-FL,US,33063
Durant,Oklahoma,US,74701
Los Osos ,US-CA,US,93402
Seffner,Florida,US,33584
STC,MN,US,56304
Easton,PA,US,18040
Brooklyn ,NY ,US,11212
PAWLEYS ISLAND,US-SC,US,29585
city : Jackson,US-MS,US,39212
Lewisville,,US,75067
8309,VI,US,00831
New River,US-AZ,US,85087
Plain City,UT ,US,84404
Elizabeth,,US,07206
Van Nuys,Ca,US,91406
Duluth,Georgia,US,30096
independence,,US,67301
Mount Sterling,US-KY,US,40353
A,US-AL,US,24522
sacramento,US-CA,US,19201
Silver Spring,MD,US,20910
NORTH HOLLYWOOD,US-CA,US,91601
detroit,US-MI,US,48205
AMARILLO,US-TX,US,79109-5010
Crofton,Md,US,21114
Baton Rouge,US-CA,US,70808 
Huntington Park,US-CA,US,90255
Twin Falls,US-ID,US,83301
Stillwater,US-OK,US,74074
Kerrville,TX,US,78028
Upper Marlboro,US-MD,US,20774
Colonia,New Jersey,US,07067
Poway,US-CA,US,92064
Farmington hills ,Michigan ,US,48334
Bay City ,Michigan ,US,48708 
Memphis ,Tennessee ,US,38134 
Deridder,La,US,70634
Pasadena,US-TX,US,77504
San diego,US-CA,US,92154
Sanford,Fl,US,32771
Canton,US-OH,US,44707
SAN ANGELO,TX,US,76903
Brooklyn,New york ,US,11225
Ventura,US-CA,US,93003
Cedar Hill,Texas,US,75104
Philadelphia ,P.a.,US,19131
Farmington Hills,MI,US,48334
N highlands,US-CA,US,95660
ontario,US-CA,US,91761
WASHINGTON,US-DC,US,20018
Cumming ,Ga,US,300041
Plymouth,US-MA,US,02360
Coatesville,Pennsylvania,US,19320
Dallas,Tx,US,75234
Humble,Texas,US,77346
Bergenfield,NJ,US,07621
Tustin,CA,US,92708
Park Forest ,US-IL,US,60466
Chicago ,iL,US,60620
Greensboro,US-NC,US,27401
Philadelphia ,US-PA,US,19142
Philadelphia ,US-PA,US,19150
Wilkes Barre ,Pa,US,18706
Campbellsville,Ky,US,42718
East Stroudsburg,Pennsylvania,US,18301
Brentwood ,US-TN,US,37027
Goldsboro,,US,27530
Lawerenceville,Ga,US,30045
Pittsburgh,Pa,US,15110
Adamsville,US-AL,US,35005
Marietta ,GEORGIA ,US,30067 
Vicksburg,Mi,US,49097
Delaware,Ohio,US,43015
Huntingdon,Pa,US,16652
BENSALEM,,US,19020-2512
Topeka,Kansas,US,66617
Oakland City,US-IN,US,47660
Akron,Ohio,US,44320
Laurens,South Carolina,US,29360
Houston ,Texas,US,77084
Las Vegas ,Nevada ,US,89121
Dallas,Tx,US,75252
Chandler ,Tx,US,75758
Suffolk ,Virginia ,US,23434 
Cherokee,Al,US,33476
Clevaland,US-OH,US,44115
Olathe,KS,US,66061
los angeles,california,US,90013
Lancaster,California,US,93536
Ashland,Wisconsin,US,54806
Oshkosh ,Wisconsin,US,54901
Florence,US-DE,US,85132
Keswick,US-VA,US,22947
MIAMI,US-FL,US,33132
Sun Prairie,,US,53559
Charleston,WV,US,25302
Detroit,Mi,US,48210
Sterling Heights,US-MI,US,48310
Winslow,US-IN,US,47598
Pleasant Hope,Missouri,US,65725
Brooklyn,New York,US,11208
Los angles,US-CA,US,54886
Queens,Ny,US,11429
phx,US-AZ,US,85041
Plano,Texas,US,75074
Sacramento,US-CA,US,90231
Chicago ,US-IL,US,60656
Lowell,US-RI,US,01852
Minneapolis,,US,55417
Denver,US-CO,US,80205
Detroit ,Michigan ,US,48213 
Mechanicsburg,Ohio,US,43044
rochesteter,US-MN,US,55906
Bozeman,Mt,US,59715
Gulf Shores,US-AL,US,36542
Greensburg ,Pennsylvania ,US,15601
Lithonia ,Georgia ,US,30058
Jamestown,,US,95327
Beaufort,SC,US,29902
Broussard,La,US,70518
Riverside ,Ca ,US,92507
Covina,US-CA,US,91724
Los Angeles,California,US,9002
Hampton ,Virginia ,US,23666
Santa Monica,US-CA,US,90401
Guamaré,Rio Grande Do Norte,US,59598000
Nebraska,US-NE,US,68305
Lincolnton ,North Carolina ,US,28092
Washington,D.C,US,20020
Jacksonville ,Florida ,US,32222 
Arlington,,US,76002
Garland,Tx,US,75040
Virudhunagar,Tamil Nadu,US,626001
Sarasota ,,US,34236
Fresno,US-CA,US,93722
Bossier city,US-LA,US,71112
Murfreesboro,Tn,US,37130
Clemmons ,North Carolina ,US,27012
Atlanta,US-GA,US,30144
sunnyvale,California ,US,94087
Taylor,Mi,US,48180
Rockport ,Texas,US,78382
England,Arkansas,US,72046
San Diego,CA,US,92109-5377
Reno,Nv,US,89508
Campton,US-KY,US,41301
Kennesaw,US-GA,US,30144
Franklin,KY,US,42135
North Las Vegas,Nevada,US,89032
Stockton,Ca.,US,95206
Concord,US-MA,US,01742
Bristol,Rhode Island,US,02809
Southfield,Michigan,US,48075
Atco,Nj,US,08004
Hopewell,VA,US,23860
Jacksonville,US-MD,US,32219
Bartlett,Tennessee,US,38135
Carrollton,Tx,US,75010
BENTON,US-MO,US,63736
Galloway,Ohio,US,43119
Craigsville,WV,US,26205
Stanfield ,US-NC,US,28163
Portland,,US,37148
Stockton,US-CA,US,95206
Bronx,NY,US,10452
Glencoe,,US,55336
Brooklyn,Ny,US,11213
Summerville,SC,US,29485
Radcliff ,US-KY,US,40160
Apple Valley,US-CA,US,92308
texas,US-TX,US,98251
Dayton,US-OH,US,45414
Live Oak,TX,US,78233
Lancaster,Ca,US,93535
Deer park,US-TX,US,77536
Dayton ,Texas,US,77535
Floresville,US-TX,US,78114
Kissimmee,Fl,US,34746
Sacramento,California,US,95842
Agawam,,US,01001
Baltimore,Maryland,US,21229
Valdosta ,US-GA,US,31602
Starkville,US-MS,US,39759
Normal,Illinois,US,61761
Brooklyn,Ny,US,11226
Upper Marlboro,MD,US,20772
Tompkinsville,KY,US,42167
Corinth,US-TX,US,76210
Sugar Land,US-TX,US,77479
Fort Dodge ,Iowa,US,50501
Denver,US-CO,US,80220
Madison,US-NJ,US,07940
Hampton,US-VA,US,23661
61 Vira Street Douglas,US-GA,US,31533
Chicago,IL,US,60617
Brownsville,Texas,US,78521
Lelia,Texas,US,79240
R,Hhwhw,US,Whwuyhs
Farmingdale,ME,US,04344
Brooklyn,New York,US,11221
Orange,Tx,US,77632
Columbus ,Georgia ,US,31909 
Salt Lake City ,Utah ,US,84107 
Glendale ,Arizona,US,85308
Columbia,US-MO,US,65201
West covina ,Ca,US,91792
Paulina,LA,US,70763
Moseley,US-VA,US,23120
Davenport,US-IA,US,52804
Сургут,ХМАО,US,653456
Los Angeles,US-OK,US,70157
Fullerton,California,US,92831
Tyler ,tx,US,75701
Highland,CA,US,92346
SAN JOSE,US-CA,US,95118
Sacramento,US-CA,US,95834
Providence,Rhode Island,US,02909
Gardner ,Massachusetts ,US,01440
Swanzey ,US-NH,US,03446
Amarillo,Tx,US,79106-5358
Las Vegas ,Nv,US,89123
Greensboro ,Nc,US,27406
Stonewall ,Louisiana ,US,71078 
Bainbridge,Georgia,US,39817 
indian river,US-MI,US,49749
West Allis ,Wi,US,53227
Lafayette,US-TN,US,37083
Temple,US-TX,US,76502
Gulf Breeze,US-TX,US,32563
florida,US-CA,US,308754236
Germantown,Tn,US,38138
Ball ,Louisiana ,US,71405
Phoenix,Arizona,US,85042
Leeds,,US,04263
" E 4th St, Michigan City, IN 46360,

",USA,US,46360
Mak,Ska,US,Z8281
Athens,US-GA,US,30601
Kenosha,WI,US,53143
Fayetteville,North Caroline,US,28304
San Marcos ,,US,78666
Housatonic,Massachusetts,US,01236
louisville,US-KY,US,40299
Spring,Tx,US,77381
West Virginia,US-WV,US,25404
Des Moines ,Iowa,US,50317
Atkinson,Nh,US,03811
San Bernardino,California,US,92405
Zapata,Texas,US,78076
Philadelphia,Pa,US,19139
Texas,US-CA,US,10457
Kansas City,US-MO,US,64132
Bayonne ,New Jersey ,US,07002 
FOUNTAIN VALLEY,US-CA,US,92708
Charlottesville,US-MI,US,22903
Conneaut,Ohio,US,44030
Tjii,Hhh,US,2398
Saint Paul,,US,55117
Escanaba,US-MI,US,49829
Douala,Cameroun,US,CMR
Memphis,Tennessee ,US,38115
Cleveland ,Ohio,US,44102
Cincinnati,US-OH,US,45213
Colo spgs ,US-CO,US,80917
Hemet ,US-CA,US,92543
Moses Lake ,Washington ,US,98837
FORT WORTH,US-TX,US,76123
Montgomery ,,US,36116
Aurora,,US,80014
Cape May,Nj,US,08204
Jamaica,US-NJ,US,11436
Grove ,Oklahoma ,US,74344 
Kansas City,US-KS,US,66103
Houston,Tx,US,77095
League City ,TX ,US,77573 
Hoschton ,Ga,US,30548
Maricopa,Arizona,US,85138
Jersey City,NJ,US,07307
Rose City,MI,US,48654
Buena Park,US-CA,US,90620
Decatur,Ar,US,72722
Sacramento,California,US,95841
San Antonio,Texas,US,78245
Titusville ,FL ,US,32780 
Galveston,US-AZ,US,14216
Joliet,Il,US,60435
Newark,New Jersey,US,07106
Spicewood,US-TX,US,78669
Maple Ave Aurora,Colorado,US,80012
San Jose ,Ca,US,95126
Chicago,US-IL,US,60616
Dover,Delaware,US,19901
cleveland,US-OH,US,43004
Knoxville,Tennessee,US,37917
Hanover Park,Illinois,US,60133
el paso,texas,US,79936
Jersey City ,NJ,US,07302
Broomfield,,US,80020
Missouri City,US-TX,US,77459
Morristown,Ten,US,37814
Temple,US-PA,US,19560
Brea ,CA ,US,92821 
SCOTTSDALE,US-AZ,US,85257
Lock Haven,Pa,US,17745
Marina Del Rey ,California ,US,90292
Duncanville,Texas,US,75137
Roselle ,Illinois ,US,60172 
Bellaire,TX,US,77401
Homer City ,Pa,US,15748
San Jose,California ,US,95127
Greenagres,Florida,US,33415
Chicago,Illinois,US,60624
Illinois,Desplaines Il.,US,60018
Bellbrook,Ohio,US,45305
Aurora,Co,US,80012
Florence ,South Carolina ,US,29501
casper,,US,82602
fresno,US-CA,US,93730
Chelsea,US-MA,US,02150
DELAWARE ,OHIO,US,43015
Morgantown,Wv,US,26505
Silver Spring ,,US,20902
Glendale,AZ,US,85302
Madison,WI,US,53706
Los-angeles,California,US,1293839
Waterford,US-PA,US,16441
NAMPA,US-ID,US,83651
Utica,Michigan,US,48317
Ogdensburg,,US,13669
Gulfport,Mississippi,US,39501
Colton,CA,US,92324
Novato,US-CA,US,94949
los angeles,US-CA,US,90023
Lexington,,US,40507
Brooklyn,New York,US,11220
N RICHLND HLS,US-TX,US,76182
Norcross ,US-GA,US,30093
Cleveland ,Ohio,US,44104
Detroit,Mi,US,48227
Harker Heights,Texas,US,76548
Miami,US-FL,US,33206-3206
Ponce,US-PR,US,00730
Las Vegas ,NV ,US,89130
Point Pleasant Boro,US-NJ,US,08742
Dallas,Tx,US,75216
Springfield ,Ma,US,01109
Brookshire,,US,77423
Mechanisburg,PA,US,17050
Pittsburgh ,Pa,US,15205
Taylors,SC,US,29687
Laredo ,Texas,US,78040
Brooklyn,NY,US,11226
Chicago,Illinois,US,60636
Canton,US-OH,US,44706
Ambridge,US-PA,US,15003
Pointe Pleasant Beach,New Jersey,US,08742
Idaho Falls,Idaho,US,83401
Dalte,Igun,US,35
centerburg,US-OH,US,43011
Redondo Beach ,US-CA,US,90278
Bloomfield,US-NJ,US,07003
Brooklyn ,NY ,US,11208 
Phoenix,AZ,US,85051
Houston,Texas,US,77058
Rancho Cordova,US-CA,US,95670
North Myrtle Beach,US-SC,US,29582
Houston,Texas,US,77090
Dallas,Tx,US,75254
Redlands,Ca,US,92374
Rexburg ,US-ID,US,83440
Dover,De,US,19901
Columbus,Ohio,US,43209
Vslparaiso,IN,US,46383
Glendale ,US-AZ,US,85301 
kingsport,US-TN,US,37660
Del Valle,Texas,US,78617
Tampa,Florida,US,33618
Smiley,TX,US,78159
Reno,Nevada,US,89502
Detroit,MI,US,48201
Columbus,US-OH,US,43204
Mesquite ,Texas ,US,75150 
Marietta,Georgia,US,30064
Chesterfield,Missouri,US,63017
Akron,Ohio,US,44314
Los Angeles,Ca,US,90024
Cicero,US-IL,US,60804
Hutchinson ,Kansas,US,67502
Irvinton,Alabama,US,36544
Lafayette,Louisiana,US,70508
San Leandro,US-CA,US,94577
Manhattan,KS,US,66503
Slayton,Mn,US,56172
Los Angeles,US-CA,US,90002
Detroit ,Michigan ,US,242123
Georgetown,SC,US,29440
anchorage,US-AK,US,99502
Lafayette ,US-IN,US,47905
Virginia,Maryland,US,20906
Troy ,Alabama,US,36709
Calhoun,GA,US,30701
Saint Paul,,US,55105
Rockwall,,US,75087
Wood River ,Illinois ,US,62095 
Margate ,US-FL,US,33063
Rayville,US-LA,US,71269
Mechanicsburg,,US,43044
Orangeburg,US-SC,US,29115
Los Angeles,California,US,90032
Charlotte ,North Carolina ,US,28269
Grapevine,TX,US,76051
Parkville,MO,US,64152-3925
Harrisburg,,US,17111
Elk Grove,US-CA,US,95758
calhan,US-CO,US,80808
new york,my,US,10080
Marrero,US-LA,US,70072
Byers,US-CO,US,80103
Albany,Ga,US,31707
Uxbridge,US-MA,US,01569
Cadwell ,Georgia ,US,31009
Raeford,NC ,US,28376 
Brooklyn, NY ,US,11233
Bronx,Ny,US,10459
Sedro Wooley,US-CA,US,98248
Spring,Tx,US,77373
Akron ,US-MI,US,48701
Wooster,Ohio,US,44691
Naperville,IL,US,60563
Chandler,Arizona,US,85249
Huntsville ,Tx,US,77340
EL DORADO ,Kansas ,US,67042
Griffith,US-IN,US,46319
baltimore,,US,21215
Obern,,US,36523
Lake Forest,,US,92630-2944
San Antonio ,Tx,US,78216
Bakersfield,CA,US,93307
Victorville ,California ,US,92394
Marengo,Ohio,US,43334
Danville,US-VA,US,24541
Los Angeles,,US,90007
إسرائيل,US-AK,US,13884
Charlotte,NC,US,28205
Grand Prairie,US-TX,US,75052
Tulsa,OK,US,74106-3713
St Thomas ,USVI,US,00802
Romney,US-WV,US,26757
Elmer ,,US,08318-2511
Cincinnati,US-OH,US,45223
Creola,Al,US,36525 
Vineyard,US-UT,US,84059
Jackson,Ms,US,39212
Justin,Texas,US,76247
Louisville,US-KY,US,40223
Atlanta ,US-GA,US,30331
Lithonia,US-GA,US,30058
Nigerian,Edo,US,234
Vidalia,Georgia,US,30474
Irvington,New Jersey,US,07111
Lynn ,Massachusetts ,US,01904
New Market,Albama,US,35761
Mitchell,US-IN,US,47446
Lake Ozark,US-AR,US,65049
Detroit,US-MI,US,48227
Huntington Beach,CA,US,92648
Dallas ,Tx,US,75212
Bossier City ,LA,US,71111
Ladson,US-SC,US,29456
Lockridge,US-IA,US,52635
Ely,,US,55173
cripple creek,US-CO,US,80813
Delphos,,US,45833
Nazareth,Pennsylvania,US,18064
pikeroad,,US,36064
Chicago ,IL ,US,60601
Hollis,Oklahoma,US,73550
Neenah,Wi,US,54956
Inkster ,US-MI,US,48141
Waynesboro,Virginia,US,22980
Florence,US-KY,US,41042
Gary,US-IN,US,46407
Imperial,MO,US,63052
Fort Smith,AR,US,72902
Southport,US-NC,US,28461
oldbridge,US-NJ,US,08857
Valdosta,GA,US,31605
Oak Hill,WV,US,25901
Manassas,Va,US,20109
DUNDALK ,Maryland ,US,21222
Pueblo,Colorado,US,81007
Cottonwood Heights,US-UT,US,84121
colombo,,US,31596
FLINT,,US,48506
San Diego ,CA,US,92154
Bakersfield,California,US,93311
Aransas Pass,Texas,US,78336
Stockton,Ca,US,95204
Bogota,NJ,US,07603
Missouri,US-MO,US,64150
Kirkwood,US-MO,US,63122
Austin,US-TX,US,78753
Fairfield ,OH ,US,45014 
Lakewood,US-CO,US,80215
Missouri City,US-TX,US,77489
Oakland ,Ca,US,94603
Minneapolis,,US,55403
Biloxi,Mississippi,US,39530
Winston Salem,NC,US,27104
Brooklyn ,US-NY,US,11216
LOUISVILLE,US-KY,US,40219
Pikesville,MD,US,21208
navuoo,al,US,35578
Dallas,US-TX,US,75332
Dunbar,Wv,US,25064
Hoonah,US-AK,US,99829
Saginaw,Mi,US,48602
Taft,US-CA,US,93268
Bellflower ,,US,90706
Everett,Massachusetts,US,02149
El Paso,Tx ,US,79924
Salem ,Missouri ,US,65560 
Lincoln,US-IL,US,62656
Fortworth,TX,US,76131
Morgantown ,Pennsylvania ,US,19543
Atlanta ,Georgia ,US,30324
Albany,New York ,US,12209
Tucson,AZ,US,85710
Carifornia,Carifornia,US,+1
Detroit,Michigan,US,48228
Greenwich,CT,US,06830
Zebulon,Nc,US,27597
Bozeman,Montana,US,59718
Warner Robins,GA,US,31093
Indinapolis,US-IN,US,46256
Temecula,US-CA,US,92591
Columbus,US-OH,US,43135
Valdosta,Georgia,US,31601
Bogalusa,LA,US,70427
Brooklyn,Ny,US,11234
Collinsville,IL,US,62234
Alexandria,Virginia,US,22306
Garden Grove ,US-CA,US,92843
Detroit,Mi,US,48224
Smyrna ,GA ,US,30082
Cambridge,MA,US,02138
Canyon,,US,79016
Bakersfield,,US,93309
Moreno Valley,US-CA,US,92551
liberty hill,tx ,US,78642
Gainesville,,US,76240
Morevile,Alaska ,US,Gshs
Grosse Ile ,Michigan ,US,48138
Buckeye ,Arizona,US,85326
Loop,US-CA,US,95014
Nashville,US-TN,US,37211
Riverview,US-MI,US,48193
Chicago,US-IL,US,60651
Worthington,US-OH,US,43085
Tucson ,Arizona ,US,85756
Williamstown,,US,08094
Hckdykufk,Hckyyfkycul,US,7463737
Henderspn,Nevada,US,89052
Detroit,MI ,US,48205
Maple Grove*,Minnesota*,US,55369-4542*
Lawrenceville ,GA ,US,30044 
Conyers,US-GA,US,30012
Duluth,US-MN,US,55805
Winnebago,Illinois,US,61088
Fargo,ND,US,58102
 Providence Rhode Island,Rhode Island,US,02907
